old_url,path_to_new_markdown_file,new_url
/techblog/2005/11/lmsensors-and-gigabyte-ga-6va7.shtml,_posts/2005/2005-11-28-lm_sensors-and-gigabyte-ga-6va7.md,/blog/2005-11-28-lm_sensors-and-gigabyte-ga-6va7/
/techblog/2006/08/gentoo-amd64-on-asus-m2n32-sli-deluxe.shtml,_posts/2006/2006-08-25-gentoo-amd64-on-asus-m2n32-sli-deluxe-part-2.md,/blog/2006-08-25-gentoo-amd64-on-asus-m2n32-sli-deluxe-part-2/
/techblog/2006/06/getting-started-with-gpg4win.shtml,_posts/2006/2006-06-12-getting-started-with-gpg4win.md,/blog/2006-06-12-getting-started-with-gpg4win/
/techblog/2005/03/gentoo-epia-install-part-1.shtml,_posts/2005/2005-03-29-gentoo-epia-install-part-1.md,/blog/2005-03-29-gentoo-epia-install-part-1/
/techblog/2006/06/subversion-for-linux-administrators.shtml,_posts/2006/2006-06-14-subversion-for-linux-administrators.md,/blog/2006-06-14-subversion-for-linux-administrators/
/techblog/2005/10/imaging-tecra-8200-windows-2000.shtml,_posts/2005/2005-10-17-imaging-a-tecra-8200-windows-2000-install-using-knoppix-ntfsclone-and-samba.md,/blog/2005-10-17-imaging-a-tecra-8200-windows-2000-install-using-knoppix-ntfsclone-and-samba/
/techblog/2006/06/failing-hard-drive-in-software-raid.shtml,_posts/2006/2006-06-11-failing-hard-drive-in-a-software-raid.md,/blog/2006-06-11-failing-hard-drive-in-a-software-raid/
/techblog/2007/12/failed-drive-slice-in-software-raid.shtml,_posts/2007/2007-12-05-failed-drive-slice-in-a-software-raid-after-resync.md,/blog/2007-12-05-failed-drive-slice-in-a-software-raid-after-resync/
/techblog/2008/09/selinux-dealing-with-exceptions.shtml,_posts/2008/2008-09-30-selinux---dealing-with-exceptions.md,/blog/2008-09-30-selinux---dealing-with-exceptions/
/techblog/2009/02/selinux-troubleshooting-file-labeling.shtml,_posts/2009/2009-02-05-selinux---troubleshooting-file-labeling-issues.md,/blog/2009-02-05-selinux---troubleshooting-file-labeling-issues/
/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part_19.shtml,_posts/2005/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-1.md,/blog/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-1/
