file_path,old_url
_posts/2006/2006-06-10-lm_sensors-and-gigabyte-ga-6va7-take-2.md,/techblog/2005/11/lmsensors-and-gigabyte-ga-6va7.shtml
_posts/2006/2006-08-25-gentoo-amd64-on-asus-m2n32-sli-deluxe-part-2.md,/techblog/2006/08/gentoo-amd64-on-asus-m2n32-sli-deluxe.shtml
_posts/2006/2006-06-17-editing-user-ids-associated-with-a-gpg-key.md,/techblog/2006/06/getting-started-with-gpg4win.shtml
_posts/2006/2006-06-20-via-epia-gentoo-migration.md,/techblog/2005/03/gentoo-epia-install-part-1.shtml
_posts/2006/2006-08-26-gentoo-amd64-on-asus-m2n32-sli-deluxe-part-5.md,/techblog/2006/06/subversion-for-linux-administrators.shtml
_posts/2006/2006-07-17-gentoo-20060-livecd-and-ntfsclone.md,/techblog/2005/10/imaging-tecra-8200-windows-2000.shtml
_posts/2007/2007-12-05-failed-drive-slice-in-a-software-raid-after-resync.md,/techblog/2006/06/failing-hard-drive-in-software-raid.shtml
_posts/2007/2007-12-21-replacing-a-failed-drive-in-a-software-raid-mirror-set.md,/techblog/2007/12/failed-drive-slice-in-software-raid.shtml
_posts/2007/2007-12-21-replacing-a-failed-drive-in-a-software-raid-mirror-set.md,/techblog/2006/06/failing-hard-drive-in-software-raid.shtml
_posts/2009/2009-02-05-selinux---troubleshooting-file-labeling-issues.md,/techblog/2008/09/selinux-dealing-with-exceptions.shtml
_posts/2009/2009-02-05-selinux-and-nagios-v3.md,/techblog/2009/02/selinux-troubleshooting-file-labeling.shtml
_posts/2005/2005-04-20-gentoo-20043-on-gigabyte-ga-6va7-part-3.md,/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part_19.shtml
_posts/2005/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-2.md,/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part.shtml
_posts/2005/2005-04-19-gentoo-20043-on-gigabyte-ga-6va7-part-2.md,/techblog/2005/04/gentoo-20043-on-gigabyte-ga-6va7-part_20.shtml
_posts/2005/2005-04-19-gentoo-and-software-raid-20043.md,/techblog/2005/03/installing-gentoo-on-software-raid.shtml
_posts/2005/2005-04-19-gentoo-and-software-raid-20043.md,/techblog/2005/03/gentoo-20050-on-gigabyte-ga-6va7-part.shtml
